query_order,round,flat_index,row_index,row_label,algorithm_index,algorithm,proposed_by_mu,proposed_by_ca,utility,cost_acquisition,predicted_runtime_mean,predicted_runtime_sd,affordable_repetitions,projected_gain,score,runtime
3199,61,6538,934,3ucc_2PG_A_601,0,surfdock,False,True,0.55388572,0.90954037,3.3080103,0,14622,8098.9169,0,2.5801554
3200,61,6545,935,3ucc_2PG_B_601,0,surfdock,False,True,0.55388572,0.90873836,3.3188627,0,14622,8098.9169,0,2.8605478
3201,61,8463,1209,4h9x_HL4_B_404,0,surfdock,False,True,0.55388572,0.9100701,3.3008583,0,14622,8098.9169,0.54444563,2.9399289
3202,61,8729,1247,4i6w_1CO_A_501,0,surfdock,False,True,0.55388572,0.90846701,3.3225408,0,14622,8098.9169,0.00035806334,2.5693181
3203,61,8883,1269,4ixw_IXW_B_302,0,surfdock,False,True,0.55388572,0.90889199,3.316782,0,14622,8098.9169,0.00090207446,2.5020497
3204,61,10556,1508,4xz9_G3P_B_302,0,surfdock,False,True,0.55388572,0.90919386,3.312696,0,14622,8098.9169,0.9904519,2.4148418
3205,61,10962,1566,5a2r_MLT_A_1615,0,surfdock,False,True,0.55388572,0.90906594,3.3144274,0,14622,8098.9169,0,2.4027936
3206,61,17703,2529,7bp1_CAQ_A_401,0,surfdock,False,True,0.55388572,0.90765166,3.3336108,0,14622,8098.9169,0.99365204,2.1987162
3207,61,218,31,1bqp_MAN_C_402,1,unimol,True,False,0.92096591,0.60291239,18.800388,0,8445,7777.5571,0.97204432,20.81
3208,61,53,7,1aej_NVI_A_296,4,gnina,False,True,0.52313331,0.91126281,2.6533709,0,14622,7649.2552,0.04936543,1.3965927
3209,61,5814,830,2xul_AKG_A_201,4,gnina,False,True,0.49794757,0.91079703,2.633178,0,14622,7280.9894,6.1139197e-08,2.1227151
3210,61,2713,387,1sz6_NAG_A_5003,4,gnina,False,True,0.4941001,0.90955306,2.5286446,0,14622,7224.7317,0.00088095403,2.1106469
3211,61,2727,389,1sz6_NAG_B_5002,4,gnina,False,True,0.4941001,0.90930462,2.5316052,0,14622,7224.7317,2.1621625e-05,2.0338941
3212,61,3021,431,1uxi_FUM_A_1311,4,gnina,False,True,0.4941001,0.90809893,2.5460026,0,14622,7224.7317,0.86098064,1.8001216
3213,61,4974,710,2p1e_LAC_A_303,4,gnina,False,True,0.4941001,0.91014505,2.5216005,0,14622,7224.7317,0.018681664,1.4006013
3214,61,9041,1291,4k5u_GAL_B_301,4,gnina,False,True,0.4941001,0.90860672,2.5399318,0,14622,7224.7317,0.98764343,2.0890665
3215,61,11309,1615,5clo_NS8_M_101,4,gnina,False,True,0.4941001,0.91138839,2.5068479,0,14622,7224.7317,0.0062618977,2.3331127
3216,61,11666,1666,5eo7_SFU_C_402,4,gnina,False,True,0.4941001,0.90771079,2.5506494,0,14622,7224.7317,0.94458545,2.3370572
3217,61,11687,1669,5eo7_SFU_C_405,4,gnina,False,True,0.4941001,0.90771079,2.5506494,0,14622,7224.7317,0.92516502,2.4674365
3218,61,13710,1958,5ud0_G3H_B_406,4,gnina,False,True,0.4941001,0.90798411,2.5473764,0,14622,7224.7317,1.3249226e-06,1.8947579
3219,61,15999,2285,6m5m_NAG_B_202,4,gnina,False,True,0.4941001,0.90961234,2.5279388,0,14622,7224.7317,0.84963001,2.0535527
3220,61,17434,2490,6vo2_R67_B_403,4,gnina,False,True,0.4941001,0.90925278,2.5322227,0,14622,7224.7317,0,2.1136315
3221,61,4064,580,2d0e_NQ_A_409,4,gnina,False,True,0.49334616,0.90890147,2.3473425,0,14622,7213.7076,6.3525041e-05,1.786018
3222,61,13010,1858,5la2_ARB_A_606,4,gnina,False,True,0.4923613,0.91265615,2.2928474,0,14622,7199.3069,0.1732959,2.2961827
3223,61,1100,157,1h70_CIR_A_500,1,unimol,True,False,0.92114244,0.5803153,20.748453,0,7652,7048.582,0,19.18
3224,61,3737,533,2a9z_26A_A_1001,6,smina,False,True,0.4756068,0.96508883,1.6608315,0,14622,6954.3226,0,3.1667546
3225,61,4836,690,2ntk_IMP_B_206,6,smina,False,True,0.47485131,0.95572043,1.7442057,0,14622,6943.2758,0,3.6523549
3226,61,3576,510,1zei_CRS_E_54,6,smina,False,True,0.47075633,0.95518607,0.75444973,0,14622,6883.3991,0.98244692,0.50794953
3227,61,4229,604,2evd_D10_A_304,1,unimol,True,False,0.86272211,0.57369803,21.233076,0,7478,6451.4359,0.95994292,21.91
3228,61,3032,433,1uxq_G1P_A_1503,1,unimol,True,False,0.86084236,0.56686031,21.855709,0,7264,6253.1589,0.8249602,25.56
3229,61,11990,1712,5fwe_OGA_A_1358,6,smina,False,True,0.42681234,0.90803629,1.1197188,0,14622,6240.8501,0.00033973026,1.2278487
3230,62,9043,1291,4k5u_GAL_B_301,6,smina,False,True,0.64146964,1.2075742,1.0036955,0,14572,9347.4956,0.98824991,0.81215222
3231,62,11668,1666,5eo7_SFU_C_402,6,smina,False,True,0.623787,1.2028178,1.0319245,0,14572,9089.8241,0.98953764,0.79206083
3232,62,11689,1669,5eo7_SFU_C_405,6,smina,False,True,0.61581729,1.2022441,1.0319245,0,14572,8973.6895,0.98015925,1.3072662
3233,62,3023,431,1uxi_FUM_A_1311,6,smina,False,True,0.58950817,1.2086882,0.98335958,0,14572,8590.3131,0,0.79352868
3234,62,16001,2285,6m5m_NAG_B_202,6,smina,False,True,0.5848613,1.2093188,0.97722262,0,14572,8522.5989,0.94115924,1.270149
3235,62,17707,2529,7bp1_CAQ_A_401,4,gnina,False,True,0.57233164,0.9657652,3.199002,0,14572,8340.0167,0.99656832,3.5126694
3236,62,10560,1508,4xz9_G3P_B_302,4,gnina,False,True,0.57140142,0.95814838,3.2904687,0,14572,8326.4615,0.39112219,2.6647035
3237,62,1173,167,1hkn_N2M_C_4138,4,gnina,False,True,0.56787758,0.96134791,3.2420011,0,14572,8275.1121,0,2.5189412
3238,62,113,16,1anc_BEN_A_290,1,unimol,True,False,0.92018114,0.61432226,17.906523,0,8855,8148.204,0.96829228,21.5
3239,62,14683,2097,6acn_TRC_A_899,4,gnina,False,True,0.5541314,0.93475667,3.5831168,0,14572,8074.8028,4.7748096e-05,2.4009249
3240,62,2051,293,1nrg_PLP_A_320,0,surfdock,False,True,0.55219588,0.91181236,3.2832556,0,14572,8046.5984,8.6710282e-06,2.5586593
3241,62,4739,677,2j5z_GAL_A_1278,0,surfdock,False,True,0.55219588,0.91087905,3.2958,0,14572,8046.5984,0.9763693,2.3354641
3242,62,6335,905,3rop_NCA_A_302,0,surfdock,False,True,0.55219588,0.91988572,3.1762831,0,14572,8046.5984,0.9264634,2.2395928
3243,62,6342,906,3rop_NCA_B_302,0,surfdock,False,True,0.55219588,0.92043766,3.1690686,0,14572,8046.5984,0.0029048687,2.2169937
3244,62,8876,1268,4ixw_IXW_A_302,0,surfdock,False,True,0.55219588,0.92268049,3.1398811,0,14572,8046.5984,0.96004684,2.6128794
3245,62,8988,1284,4jwx_1N4_A_301,0,surfdock,False,True,0.55219588,0.90781124,3.3372958,0,14572,8046.5984,0.99003527,3.0227432
3246,62,8995,1285,4jxh_HRC_A_301,0,surfdock,False,True,0.55219588,0.91356097,3.2598543,0,14572,8046.5984,0.98481105,3.1521944
3247,62,10563,1509,4xz9_G3P_C_302,0,surfdock,False,True,0.55219588,0.91954702,3.1807165,0,14572,8046.5984,0.99723439,2.2923259
3248,62,15211,2173,6f7r_CIT_A_1003,0,surfdock,False,True,0.55219588,0.91501526,3.2404897,0,14572,8046.5984,0.84794682,2.4750404
3249,62,17710,2530,7bp1_CAQ_C_401,0,surfdock,False,True,0.55219588,0.92584686,3.0990229,0,14572,8046.5984,0.99441545,2.3096333
3250,62,17053,2436,6syz_M1E_B_601,1,unimol,True,False,0.92023267,0.60029769,19.004599,0,8344,7678.4214,0.99006114,16.62
3251,62,4736,676,2j5b_TYE_B_1338,4,gnina,False,True,0.52621592,0.90916488,2.6926057,0,14572,7668.0183,0.53486462,2.5872255
3252,62,9052,1293,4k5u_GAL_D_301,1,unimol,True,False,0.91096849,0.59807593,19.176577,0,8269,7532.7985,0.98754743,23.4
3253,62,11649,1664,5eo7_SFU_B_405,1,unimol,True,False,0.92004287,0.59344991,19.567146,0,8104,7456.0274,0.95929019,21.55
3254,62,242,34,1ca7_ENO_A_501,4,gnina,False,True,0.49086516,0.90844341,2.5569723,0,14572,7152.8871,0.97297985,1.99551
3255,62,2069,295,1ns4_BGC_B_2400,4,gnina,False,True,0.49086516,0.90977831,2.5410223,0,14572,7152.8871,0.95373104,2.0995039
3256,62,3609,515,1zha_PEP_B_2268,4,gnina,False,True,0.49086516,0.90925634,2.5472505,0,14572,7152.8871,0.025008269,2.3865343
3257,62,4197,599,2ef9_PEP_B_2268,4,gnina,False,True,0.49086516,0.90837307,2.5578153,0,14572,7152.8871,0.79352428,2.5526111
3258,62,10049,1435,4rp9_ASC_A_501,4,gnina,False,True,0.49086516,0.9145699,2.4843109,0,14572,7152.8871,0.00059072088,2.054058
3259,62,10322,1474,4v36_LYN_A_1851,4,gnina,False,True,0.49086516,0.90712989,2.5727332,0,14572,7152.8871,2.1146423e-09,2.6581059
3260,62,11491,1641,5dnx_5LD_B_205,4,gnina,False,True,0.49086516,0.91036882,2.5339868,0,14572,7152.8871,0.3184792,3.6957106
3261,62,12814,1830,5joy_6LW_A_602,4,gnina,False,True,0.49086516,0.90931409,2.5465608,0,14572,7152.8871,3.3946291e-05,2.44784
3262,62,14886,2126,6c1x_DNX_A_203,4,gnina,False,True,0.49086516,0.90823492,2.5594702,0,14572,7152.8871,0.97625687,1.9418892
3263,62,16832,2404,6rgg_K3Q_A_401,4,gnina,False,True,0.49086516,0.90945643,2.5448616,0,14572,7152.8871,0.018100136,2.6212231
3264,62,2734,390,1sz6_NAG_B_5004,4,gnina,False,True,0.49086294,0.91440348,2.3593829,0,14572,7152.8547,2.4218257e-07,3.0541486
3265,62,15992,2284,6m5m_NAG_A_202,4,gnina,False,True,0.49085628,0.91010256,2.3957224,0,14572,7152.7576,6.1126849e-05,2.3632084
3266,62,11,1,19gs_BSP_B_210,4,gnina,False,True,0.49067352,0.9105611,2.3587794,0,14572,7150.0946,2.4252396e-05,1.6902626
3267,62,4,0,19gs_BSP_A_210,4,gnina,False,True,0.4906016,0.91006389,2.3587794,0,14572,7149.0465,0.0039881531,1.7116046
3268,62,4883,697,2nz5_226_A_431,4,gnina,False,True,0.48980853,0.91072743,2.3339236,0,14572,7137.4899,2.1495134e-06,2.2380872
3269,62,3154,450,1w3t_3GR_C_1297,4,gnina,False,True,0.47276909,0.91080625,2.2322285,0,14572,6889.1912,0.15890863,6.2772438
