query_order,round,flat_index,row_index,row_label,algorithm_index,algorithm,utility,acquisition,predicted_runtime_mean,predicted_runtime_sd,score,runtime
17404,387,6442,920,3t2e_F6R_A_3469,2,diffdock,0.013618252,0.013618252,,,0,25.837394
17405,387,114,16,1anc_BEN_A_384,2,diffdock,0.013607258,0.013607258,,,1.2820703e-17,12.391682
17406,387,13120,1874,5nh9_XLS_B_503,2,diffdock,0.013515539,0.013515539,,,0,40.963359
17407,387,12088,1726,5gwt_SIN_B_302,6,smina,0.013257548,0.013257548,,,0,0.86673084
17408,387,10775,1539,4zbc_FRU_B_409,2,diffdock,0.013012724,0.013012724,,,0,31.171182
17409,387,9991,1427,4r2n_PHE_C_402,2,diffdock,0.012958355,0.012958355,,,0,37.827008
17410,387,15486,2212,6hsg_GM5_C_504,2,diffdock,0.012919549,0.012919549,,,0,49.379772
17411,387,6523,931,3tye_YTZ_B_902,6,smina,0.012795442,0.012795442,,,0,2.3164056
17412,387,5865,837,2z1z_MLT_A_433,6,smina,0.01279315,0.01279315,,,1.2495812e-06,0.93385406
17413,387,6925,989,3wca_FPS_D_401,2,diffdock,0.012698597,0.012698597,,,0,47.101383
17414,387,8549,1221,4hez_1MZ_A_307,2,diffdock,0.012680708,0.012680708,,,1.0005857e-10,14.483191
17415,387,5707,815,2xoz_AMP_B_1664,2,diffdock,0.012559925,0.012559925,,,0,11.898571
17416,387,62,8,1aiq_CB3_A_266,6,smina,0.012559871,0.012559871,,,0,10.9056
17417,387,9536,1362,4n4j_HG1_A_608,2,diffdock,0.012519587,0.012519587,,,6.1707799e-77,18.035395
17418,388,1423,203,1kar_HSM_A_502,2,diffdock,0.012479456,0.012479456,,,5.8452334e-51,39.672428
17419,388,8024,1146,4dd8_BAT_D_1000,2,diffdock,0.01210737,0.01210737,,,0,45.118532
17420,388,5921,845,2z48_NGA_A_1002,6,smina,0.012101304,0.012101304,,,5.0627104e-06,1.3968012
17421,388,2939,419,1v5g_HTL_A_1602,6,smina,0.012097667,0.012097667,,,0,14.138432
17422,388,4871,695,2okk_ABU_A_585,6,smina,0.012075911,0.012075911,,,0,0.81103139
17423,388,7062,1008,3wur_O4B_A_201,6,smina,0.012056595,0.012056595,,,0,0.82016242
17424,388,2151,307,1p7l_PPK_D_884,2,diffdock,0.012014166,0.012014166,,,0,44.42839
17425,388,12746,1820,5jj2_MLI_A_305,6,smina,0.012006556,0.012006556,,,1.1302135e-07,0.63079936
17426,388,17009,2429,6szt_M4Q_A_601,6,smina,0.012006348,0.012006348,,,0,1.9276189
17427,388,11472,1638,5dmm_HCS_A_505,6,smina,0.011996939,0.011996939,,,0.0011430061,0.91119312
17428,388,12949,1849,5lwy_OLB_A_402,6,smina,0.011995077,0.011995077,,,0.00020885845,11.764006
17429,388,2778,396,1tt6_DES_A_129,6,smina,0.011988089,0.011988089,,,0,1.9340778
17430,388,363,51,1e2s_CSN_P_701,6,smina,0.011978999,0.011978999,,,0,1.8872498
17431,388,13544,1934,5thu_B3N_B_404,6,smina,0.011967762,0.011967762,,,0,9.3419191
17432,388,6904,986,3wca_FPS_A_501,2,diffdock,0.011910062,0.011910062,,,0,46.605662
17433,388,14699,2099,6b9p_D0J_B_1001,6,smina,0.011892484,0.011892484,,,0,14.549213
17434,388,6817,973,3w4i_8LG_B_402,6,smina,0.011862985,0.011862985,,,0,0.61591707
17435,388,15518,2216,6i4b_ORO_A_602,6,smina,0.011849908,0.011849908,,,0,0.86675946
17436,388,3863,551,2bxh_IOS_A_1002,6,smina,0.011837356,0.011837356,,,4.4278673e-06,1.8660515
17437,388,16771,2395,6r73_LMP_B_301,6,smina,0.011790417,0.011790417,,,0,8.0588347
17438,388,15612,2230,6jme_ORO_A_402,2,diffdock,0.011786555,0.011786555,,,1.8319689e-05,22.600267
17439,388,12081,1725,5gwt_SIN_A_302,6,smina,0.01177715,0.01177715,,,0,1.0710271
17440,388,14734,2104,6bmm_OLB_B_404,6,smina,0.011744519,0.011744519,,,1.3436686e-15,11.886856
17441,388,7881,1125,4d06_NAR_F_302,6,smina,0.011740481,0.011740481,,,1.6169152e-08,0.67914358
17442,388,335,47,1duc_DUD_A_201,6,smina,0.011736807,0.011736807,,,0,4.5561038
17443,388,1497,213,1ki2_GA2_B_2,6,smina,0.011733424,0.011733424,,,0,2.3894595
17444,388,8462,1208,4gt9_UMP_A_302,6,smina,0.011639629,0.011639629,,,0,3.3674489
17445,388,4752,678,2nu7_COA_E_1025,6,smina,0.011599351,0.011599351,,,6.0176115e-11,5.7055218
