query_order,round,flat_index,row_index,row_label,algorithm_index,algorithm,proposed_by_mu,proposed_by_ca,utility,cost_acquisition,predicted_runtime_mean,predicted_runtime_sd,affordable_repetitions,projected_gain,score,runtime
957,778,1716,245,1mmy_G6D_B_348,1,unimol,True,False,0.77453836,0.51568919,19.033918,0,16459,12748.127,0,21.2
958,779,1765,252,1n3o_GYP_A_1001,1,unimol,True,False,0.77484724,0.5226923,18.408102,0,16844,13051.527,0.94680066,21.48
959,780,2045,292,1p2s_ETF_A_400,1,unimol,True,False,0.77468634,0.52893398,17.870722,0,16843,13048.042,0.7009665,20.72
960,781,2276,325,1qit_MAE_A_411,1,unimol,True,False,0.77447765,0.51020879,19.516663,0,16049,12429.592,0.85142394,18.01
961,782,2283,326,1qmh_CIT_A_401,1,unimol,True,False,0.7742855,0.56411886,15.189128,0,16841,13039.742,0.88300113,19.23
962,783,2451,350,1sz6_NAG_A_5003,1,unimol,True,False,0.7741011,0.51371459,19.180496,0,16328,12639.523,0,19.96
963,784,2458,351,1sz6_NAG_B_5002,1,unimol,True,False,0.77433411,0.51171859,19.3615,0,16174,12524.08,0.96908857,25.62
964,785,2759,394,1uxi_FUM_A_1311,1,unimol,True,False,0.77420146,0.4916974,21.319317,0,14688,11371.471,0.91529939,19.82
965,786,2843,406,1vzu_UDP_A_1371,1,unimol,True,False,0.77403641,0.45640434,25.419912,0,12318,9534.5805,0.94178014,21.04
966,787,13273,1896,5oew_9TE_C_301,1,unimol,True,False,0.77389223,0.49530639,21.082142,0,14851,11493.073,0.96287768,25.19
967,788,2857,408,1w1a_NDG_1_1261,1,unimol,True,False,0.77455214,0.48358534,22.174889,0,14118,10935.127,0.91813182,14.7
968,789,3249,464,1zha_PEP_B_2268,1,unimol,True,False,0.77437864,0.53233043,17.560329,0,16834,13035.89,0.97050759,15.63
969,790,3508,501,2b3f_GAL_A_3310,1,unimol,True,False,0.77422033,0.49349589,21.12092,0,14821,11474.719,0.9895783,26.51
970,791,3921,560,2ef9_PEP_B_2268,1,unimol,True,False,0.77406246,0.50329053,20.142159,0,15540,12028.931,0.96732874,17.49
971,792,2863,409,1w1a_NDG_2_1261,0,surfdock,False,True,0.54221942,0.7720565,2.558125,0,16831,9126.095,0.89520071,2.9342111
972,793,2864,409,1w1a_NDG_2_1261,1,unimol,True,False,0.79966045,0.50736847,19.872467,0,15750,12594.652,0.90850903,17.98
973,794,17136,2448,6t5p_VD8_B_302,0,surfdock,False,True,0.54294845,0.76992232,2.597234,0,16829,9137.2794,0,3.4626318
974,795,2926,418,1wmz_NGA_C_503,0,surfdock,False,True,0.54184109,0.76367649,2.7083099,0,16828,9118.1019,0,2.7714369
975,796,17486,2498,6x9d_HYP_A_2002,0,surfdock,False,True,0.5407383,0.76168887,2.7457271,0,16827,9099.0034,0.97339818,2.4746377
976,797,17487,2498,6x9d_HYP_A_2002,1,unimol,True,False,0.81352401,0.50825035,19.775152,0,15826,12874.831,0,22.86
977,798,5572,796,2xhk_AKG_A_519,0,surfdock,False,True,0.541579,0.76043054,2.7697282,0,16825,9112.0666,0.92365457,2.4277778
978,799,5573,796,2xhk_AKG_A_519,1,unimol,True,False,0.80199624,0.50124484,20.443111,0,15308,12276.958,0.85769051,17.79
979,800,5810,830,2z48_NGA_A_1003,0,surfdock,False,True,0.54633007,0.76333505,3.7788363,0,16823,9190.9108,0,2.7111553
980,801,5811,830,2z48_NGA_A_1003,1,unimol,True,False,0.78959695,0.46416859,24.529577,0,12757,10072.888,0.98669889,25.02
981,802,644,92,1gij_2PU_A_501,0,surfdock,False,True,0.54139207,0.76183483,3.7891045,0,16821,9106.756,0.89587387,4.2407293
982,803,645,92,1gij_2PU_A_501,1,unimol,True,False,0.7885881,0.44721359,26.74,0,11701,9227.2694,0,21.62
983,804,4466,638,2jfv_FLC_A_1271,0,surfdock,False,True,0.54184087,0.76153007,2.7525482,0,16819,9113.2217,0.89292768,2.99709
984,805,4467,638,2jfv_FLC_A_1271,1,unimol,True,False,0.79352893,0.49083094,21.474888,0,14569,11560.923,0.75624317,20.34
985,806,3626,518,2bsc_NAG_A_1176,0,surfdock,False,True,0.54254374,0.76173951,2.748805,0,16817,9123.9581,0,2.6750616
986,807,722,103,1gz5_UDP_D_900,1,unimol,True,False,0.77774676,0.44710721,26.714001,0,11711,9108.1923,0.96637626,26.67
987,808,806,115,1h48_C5P_C_901,1,unimol,True,False,0.78038774,0.4471205,26.7225,0,11706,9135.2189,0.97198425,19.93
988,809,1443,206,1knu_YPA_A_1001,1,unimol,True,False,0.78305971,0.4471338,26.719,0,11707,9167.2801,0.72652695,27.32
989,810,6098,871,3qwi_CUE_D_272,1,unimol,True,False,0.78279863,0.44714709,26.802786,0,11669,9134.4772,0.99827145,17
990,811,7631,1090,4cme_KTZ_B_1270,1,unimol,True,False,0.7857232,0.44716039,26.797956,0,11671,9170.1754,0,19.36
991,812,5327,761,2vkg_CF4_A_1064,0,surfdock,False,True,0.54157078,0.77461205,2.5288498,0,16811,9104.3464,0.00012713225,3.3453425
992,813,5565,795,2xh0_PEP_B_1440,0,surfdock,False,True,0.54048363,0.77276677,2.5614655,0,16810,9085.5298,0.99111711,2.5890709
993,814,5566,795,2xh0_PEP_B_1440,1,unimol,True,False,0.81260587,0.51009806,19.612707,0,15945,12957.001,0.98057397,23.32
994,815,1092,156,1isx_XYP_A_1461,0,surfdock,False,True,0.54140891,0.77062085,2.6004858,0,16808,9100.001,0.032025759,2.0609899
995,816,1099,157,1isx_XYP_B_961,0,surfdock,False,True,0.5403911,0.78046442,2.4292233,0,16807,9082.3533,0.94605276,1.989432
996,817,1100,157,1isx_XYP_B_961,1,unimol,True,False,0.80547644,0.53103557,17.761982,0,16806,13536.837,0.97208371,20.65
997,818,14308,2044,5y8k_SER_A_301,0,surfdock,False,True,0.54121871,0.77118493,2.5911934,0,16805,9095.1804,0,2.2266843
